Right Speed, Left Speed
361.3973025056208, 331.3893673450811
361.3970724880854, 331.38913732754605
361.3968424705501, 331.388907310011
361.39701290377326, 331.38907631412746
361.39678286552316, 331.38884627587873
361.3973619381506, 331.3894224899199
361.3971318584713, 331.3891924102435
361.39812776273664, 331.3901840256726
361.39789762091345, 331.3899538838546
361.3993185494274, 331.3913690921256
361.3990883247457, 331.391138867452
361.40094247059585, 331.39298586010864
361.4007121423411, 331.3927555318654
361.4030076991253, 331.3950425005751
361.4027772465826, 331.39481204804815
361.40552240834444, 331.39754718453696
361.4052918107991, 331.3973165870122
361.4084947720664, 331.400508083104
361.4082640088035, 331.40027731986714
361.4119329646364, 331.4039333675313
361.4117020149409, 331.403702417868
361.4158451608249, 331.40783120911254
361.4156140039818, 331.4076000523083
361.4202395360235, 331.4122097793753
361.42000815131746, 331.4119783947155
361.4251242660316, 331.41707724986884
361.4248926327473, 331.4168456166388
361.4305075272505, 331.4224417923569
361.4302756246724, 331.4222098898417
361.43639749659746, 331.42831157873263
361.4361653040099, 331.4280793862173
361.44280235153497, 331.4346947810476
361.442569848222, 331.43446227781686
361.44973027004363, 331.4415995714847
361.44949743528923, 331.44136673682317
361.4571894307272, 331.449034122463
361.45695624381517, 331.448800935655
361.4651880127324, 331.4570066065577
361.46495445294624, 331.45677304688746
361.4737341957493, 331.4655251965005
361.47350024237227, 331.465291243252
361.48283616010326, 331.47459806527183
361.48260179241856, 331.4743636977288
361.49250208666473, 331.4842333860096
361.49226728395513, 331.48399858345545
361.50274015697795, 331.4944393321389
361.502504898526, 331.49420407385685
361.5135585531144, 331.50522407722536
361.51332281820237, 331.50498834249834
361.5249654578255, 331.51659579512733
361.52472922573537, 331.516359563238
361.5369690544482, 331.52856265990175
361.5367323044617, 331.5283259101324
361.5495775270074, 331.5411328459065
361.5493402384059, 331.54089555753916
361.5627990600828, 331.5543145276674
361.56256121214733, 331.5540766799838
361.5766418390155, 331.56811588008424
361.57640341102683, 331.56787745236574
361.5911140497277, 331.5825450782511
361.5908750209661, 331.58230604977865
361.6062238788253, 331.5976102975587
361.60598422857083, 331.597370647613
361.62197951361225, 331.6133197137086
361.62173922114454, 331.6130794215699
361.6383891420589, 331.6296815026816
361.63814818665713, 331.6294405476297
361.65546095283844, 331.6467038407741
361.6552193137816, 331.64646220208857
361.67320313532014, 331.6643949045915
361.6729607918865, 331.6641525615514
361.691623879572, 331.6827628710506
361.69138081103955, 331.68251980293456
361.71073137640894, 331.70181591742806
361.71048756205533, 331.70157210351425
361.73053381735383, 331.7215622213208
361.7302892364561, 331.72131764088704
361.7510393946395, 331.74200996064883
361.7507940264743, 331.7417645929723
361.7722563013067, 331.76316731375226
361.77201012515013, 331.7629211381098
361.7941927310772, 331.7850424592654
361.79394572620504, 331.7847954549334
361.81685687845976, 331.8076435762215
361.8166090241471, 331.80739572247563
361.84025693876873, 331.8309788440724
361.84000821429026, 331.830730120188
361.86440110802215, 331.8550564425859
361.864151492652, 331.8548068278378
361.8892975830781, 331.8798845519826
361.88904705608985, 331.87963402564503
361.9149545615686, 331.9054713528691
361.9147031022353, 331.9052198942157
361.94138024190534, 331.9318250262443
361.94112782949946, 331.93157261454826
361.96858282335444, 331.958953753574
361.9683294371478, 331.95870036810777
361.99657050596096, 331.9868657167149
361.996316125225, 331.98661133675046
362.02535149062624, 332.0155690979924
362.0250960946316, 332.0153137028011
362.0549339790489, 332.0450720801418
362.05467754706564, 332.04481564899436
362.0853261738128, 332.0753828463955
362.0850686851104, 332.07512535856205
362.1165362782768, 332.106509580373
362.1162777121241, 332.10625101512295
362.1485724967963, 332.13846046630255
362.14831283246144, 332.13820080290486
362.181443034431, 332.171243688729
362.18118225118155, 332.1709829064517
362.21515609723787, 332.20486743280617
362.2148941743406, 332.20460551091674
362.2497198921072, 332.2393398841334
362.2494568088282, 332.2390768018986
362.28514262680545, 332.27466922879813
362.28487836241027, 332.2744049654841
362.321432510055, 332.3108636534555
362.32116704380826, 332.31059818832756
362.35859775144485, 332.34793134523926
362.3583310626106, 332.34766465756206
362.3966465614652, 332.38588049179623
362.39637862930664, 332.3856125608337
362.4355871515746, 332.42471928135325
362.43531795535426, 332.42445008636844
362.47542773418184, 332.46445590269883
362.4751572531614, 332.46418542295413
362.5161765225277, 332.5050985450658
362.51590473596815, 332.50482675982283
362.55784173095236, 332.5466553983974
362.55756861811386, 332.546382286917
362.60043157465657, 332.5891346531093
362.60015711479855, 332.5888601946515
362.6439542698024, 332.63254450019014
362.6436784421833, 332.632268674014
362.6884180336184, 332.6768931313061
362.68814081749593, 332.6766159166701
362.73383108418494, 332.7221887385869
362.733552458816, 332.72191011474854
362.78020164072046, 332.76843951491173
362.77992158536114, 332.7681594611276
362.82753792331124, 332.81565365363883
362.8272564172166, 332.8153721491648
362.8758481531402, 332.86383934883435
362.87556517556453, 332.8635563729253
362.9251405523507, 332.91300479513603
362.92485608254736, 332.912720327046
362.9754233442021, 332.963158187909
362.97513736142366, 332.9628722068911
363.0267047528235, 333.01430772299904
363.02641723632144, 333.01402020830545
363.0789930035683, 333.0664615970872
363.07870393259327, 333.0661725279693
363.13229632273027, 333.1196280074062
363.13200567653195, 333.11933736311425
363.186622937699, 333.1738151518953
363.1863306955261, 333.1735229116787
363.2419810768827, 333.22903122912334
363.2416872179831, 333.22873737223046
363.2983789698632, 333.2852844384434
363.2980834734836, 333.2849889441217
363.3558248472011, 333.3425829797986
363.3555276925873, 333.3422858272945
363.4143269406355, 333.4009350539207
363.41402810703227, 333.40063622247976
