Right, Left
76.0, 400.0
77.37726885601433, 397.53001639846934
78.7545380378892, 395.0604256138824
80.13180787148517, 392.5916204631832
81.50907868266279, 390.12399376331547
82.88635079728262, 387.65793833122297
84.26362454120519, 385.1938469838497
85.64090024029106, 382.7321125381393
87.01817822040078, 380.27312781103575
88.39545880739492, 377.81728561948285
89.772742327134, 375.3649787804243
91.15002910547857, 372.91660011080404
92.5273194682892, 370.4725424275659
93.90461374142643, 368.03319854765357
95.28191225075082, 365.5989612880111
96.65921532212292, 363.17022346558207
98.03652328140325, 360.74737789731057
99.4138364544524, 358.33081740014023
100.79115516713088, 355.9209347910149
102.1684797452993, 353.5181228868785
103.54581051481814, 351.1227745046748
104.92314780154798, 348.73528246134754
106.3004919313494, 346.35603957384075
107.67784323008291, 343.98543865909807
109.05520202360908, 341.62387253406337
110.43256863778844, 339.2717340156806
111.80994339848156, 336.92941592089335
113.18732663154898, 334.59731106664566
114.56471866285128, 332.27581226988127
115.94211981824895, 329.96531234754406
117.31953042360259, 327.6662041165777
118.69695080477274, 325.3788803939262
120.07438128761994, 323.10373399653326
121.45182219800475, 320.84115774134284
122.8292738617877, 318.59154444529867
124.20673660482937, 316.3552869253445
125.58421075299029, 314.13277799842433
126.96169663213102, 311.92441048148186
128.3391945681121, 309.730577191461
129.71670488679408, 307.55167094530555
131.09422791403753, 305.3880845599593
132.471763975703, 303.2402108523661
133.84931339765097, 301.1084426394698
135.22687650574213, 298.9931727382141
136.60445362583687, 296.89479396554304
137.98204508379584, 294.8136991384003
139.3596512054796, 292.7502810737297
140.73727231674863, 290.7049325884752
142.11490874346353, 288.6780464995804
143.49256081148482, 286.67001562398934
144.8702288466731, 284.6812327786458
146.24791317488888, 282.71209078049344
147.6256141219927, 280.7629824464763
149.00333201384515, 278.8343005935381
150.38106717630674, 276.92643803862273
151.75881993523802, 275.039787598674
153.1365906164996, 273.1747420906356
154.51437954595198, 271.3316943314516
155.8921870494557, 269.51103713806566
157.27001345287135, 267.71316332742157
158.64785908205945, 265.93846571646327
160.02572426288057, 264.1873371221346
161.40360932119523, 262.46017036137926
162.78151458286402, 260.75735825114117
164.15944037374746, 259.0792936083641
165.5373870197061, 257.4263692499919
166.91535484660054, 255.79897799296847
168.29334418029123, 254.19751265423753
169.67135534663882, 252.62236605074293
171.0493886715038, 251.07393099942854
172.42744448074677, 249.55260031723813
173.8055231002282, 248.0587668211156
175.18362485580874, 246.5928233280047
176.5617500733489, 245.15516265484928
177.9398990787092, 243.7461776185932
179.31807219775018, 242.36626103618028
180.69626975633247, 241.01580572455427
182.07449208031656, 239.6952045006591
183.45273949556298, 238.40485018143852
184.83101232793237, 237.14513558383638
186.20931090328517, 235.91645352479654
187.587635547482, 234.71919682126278
188.9659865863834, 233.55375829017893
190.3443643458499, 232.42053074848886
191.72276915174206, 231.31990701313634
193.10120132992046, 230.25227990106524
194.47966120624562, 229.21804222921935
195.85814910657808, 228.21758681454253
197.2366653567784, 227.2513064739786
198.61521028270715, 226.31959402447137
199.99378421022482, 225.42284228296467
201.37238746519205, 224.56144406640232
202.75102037346934, 223.73579219172817
204.12968326091723, 222.946279475886
205.5083764533963, 222.19329873581972
206.8871002767671, 221.4772427884731
208.26585505689013, 220.79850445078992
209.644641119626, 220.15747653971408
211.0234587908352, 219.5545518721894
212.40230839637832, 218.99012326515967
213.78119026211593, 218.46458353556875
215.16010471390857, 217.97832550036043
216.53905207761676, 217.53174197647857
217.91803267910106, 217.125225780867
219.297046844222, 216.75916973046952
220.67609489884018, 216.43396664223
222.05517716881613, 216.15000933309216
223.43429398001044, 215.90769061999993
224.81344565828354, 215.7074033198971
226.19263252949608, 215.54954024972756
227.5718549195086, 215.43449422643505
228.95111315418166, 215.36265806696335
230.33040755937577, 215.3344245882564
231.70973846095148, 215.35018660725802
233.08910618476935, 215.410336940912
234.46851105668995, 215.5152684061622
235.84795340257384, 215.66537381995235
237.22743354828157, 215.86104599922635
238.6069518196736, 216.102677760928
239.98650854261058, 216.3906619220012
241.366104042953, 216.72539129938968
242.7457386465615, 217.10725871003734
244.12541267929655, 217.53665697088795
245.5051264670187, 218.01397889888537
246.88488033558852, 218.53961731097337
248.26467463314867, 219.11396350986575
249.64451496324253, 219.73705165589774
251.02441892738736, 220.40810056055034
252.40440579359182, 221.12621578519997
253.78449482986454, 221.89050289122287
255.1647053042141, 222.70006743999534
256.54505648464914, 223.55401499289374
257.9255676391784, 224.45145111129435
259.3062580358104, 225.3914813565735
260.68714694255374, 226.37321129010752
262.06825362741705, 227.39574647327265
263.44959735840916, 228.45819246744526
264.83119740353845, 229.55965483400163
266.21307303081375, 230.6992391343181
